# Code Generated by Sidekick is for learning and experimentation purposes only.
eccTable,description,module,changeType,s4Table,cdsView,delta,azurePattern,snowflakePattern,notes
BSEG,Accounting Document Segment,FI,Merged,ACDOCA,I_JournalEntryItem,Yes,ODP via ADF OData → ADLS Gen2 (Delta Lake format),ODP via SLT → Kafka → Snowpipe Streaming,Primary FI line item table. All BSEG data now in Universal Journal (ACDOCA). Critical mapping.
BKPF,Accounting Document Header,FI,Merged,ACDOCA,I_JournalEntry,Yes,ODP via ADF OData → ADLS Gen2 (Delta Lake format),ODP via SLT → Kafka → Snowpipe Streaming,Header fields merged into ACDOCA. Use I_JournalEntry for header-level grain.
GLT0,G/L Account Totals,FI,Deprecated,ACDOCA (aggregate),I_GLAccountLineItem,Yes,ODP via ADF → ADLS Gen2 → Synapse Aggregation,ODP → Snowflake Stage → dbt Aggregation Layer,Totals table eliminated. Derive totals from ACDOCA line items via aggregation in cloud.
BSIS,G/L Open Items,FI,Deprecated,ACDOCA,I_OperationalAcctgDocItem,Yes,ODP via ADF → ADLS Gen2 (filter: clearing_date = initial),ODP → Snowflake → View with open item filter,Open/cleared split no longer in separate tables. Filter ACDOCA by clearing status.
BSAS,G/L Cleared Items,FI,Deprecated,ACDOCA,I_OperationalAcctgDocItem,Yes,ODP via ADF → ADLS Gen2 (filter: clearing_date <> initial),ODP → Snowflake → View with cleared item filter,Cleared items now filtered from ACDOCA. No separate table in S/4.
BSID,Customer Open Items,FI,Deprecated,ACDOCA,I_OperationalAcctgDocItem,Yes,ODP via ADF → ADLS Gen2 (filter: account_type = D - open),ODP → Snowflake → View filtered on customer + open,Customer subledger merged into ACDOCA. Filter by account type D.
BSAD,Customer Cleared Items,FI,Deprecated,ACDOCA,I_OperationalAcctgDocItem,Yes,ODP via ADF → ADLS Gen2 (filter: account_type = D - cleared),ODP → Snowflake → View filtered on customer + cleared,Customer cleared items now in ACDOCA. Filter by account type + clearing date.
BSIK,Vendor Open Items,FI,Deprecated,ACDOCA,I_OperationalAcctgDocItem,Yes,ODP via ADF → ADLS Gen2 (filter: account_type = K - open),ODP → Snowflake → View filtered on vendor + open,Vendor subledger merged into ACDOCA. Filter by account type K.
BSAK,Vendor Cleared Items,FI,Deprecated,ACDOCA,I_OperationalAcctgDocItem,Yes,ODP via ADF → ADLS Gen2 (filter: account_type = K - cleared),ODP → Snowflake → View filtered on vendor + cleared,Vendor cleared items now in ACDOCA. Filter by account type + clearing date.
FAGLFLEXA,New G/L Line Items (Extended),FI,Deprecated,ACDOCA,I_GLAccountLineItem,Yes,ODP via ADF → ADLS Gen2 (Delta Lake),ODP → Snowflake Stage → Merge into target,New GL line items fully merged into ACDOCA. Direct replacement.
